Pressure,RSSI,Relative_Humidity,Temperature,Time,Month,Month_Number,Season,Hour,Minute,Time_of_Day
988.7,-98.0,74.0,27.0,1900-01-01 18:00:00.000000000,April,4,Dry,18.0,0.0,Evening
1015,-102,94,23,1900-01-01 08:00:00.000000000,August,8,Rainy,8.0,0.0,Morning
1015,-101,90,23,1900-01-01 08:30:00.000000000,August,8,Rainy,8.0,30.0,Morning
1015,-95,88,24,1900-01-01 09:00:00.000000000,August,8,Rainy,9.0,0.0,Morning
1014,-100,88,24,1900-01-01 09:30:00.000000000,August,8,Rainy,9.0,30.0,Morning
1015,-100,88,24,1900-01-01 10:00:00.000000000,August,8,Rainy,10.0,0.0,Morning
1016,-100,87,25,1900-01-01 10:30:00.000000000,August,8,Rainy,10.0,30.0,Morning
1013,-100,76,28,1900-01-01 11:00:00.000000000,August,8,Rainy,11.0,0.0,Morning
1012,-101,74,27,1900-01-01 11:30:00.000000000,August,8,Rainy,11.0,30.0,Morning
1015,-103,74,28,1900-01-01 12:00:00.000000000,August,8,Rainy,12.0,0.0,Afternoon
1013,-101,75,28,1900-01-01 12:30:00.000000000,August,8,Rainy,12.0,30.0,Afternoon
1013,-98,75,27,1900-01-01 13:00:00.000000000,August,8,Rainy,13.0,0.0,Afternoon
1013,-98,74,27,1900-01-01 13:30:00.000000000,August,8,Rainy,13.0,30.0,Afternoon
1012,-97,70,28,1900-01-01 14:00:00.000000000,August,8,Rainy,14.0,0.0,Afternoon
1012,-97,74,30,1900-01-01 15:00:00.000000000,August,8,Rainy,15.0,0.0,Afternoon
1011,-98,75,29,1900-01-01 15:30:00.000000000,August,8,Rainy,15.0,30.0,Afternoon
1011,-99,82,30,1900-01-01 16:00:00.000000000,August,8,Rainy,16.0,0.0,Evening
1012,-98,84,30,1900-01-01 16:30:00.000000000,August,8,Rainy,16.0,30.0,Evening
1011,-98,85,28,1900-01-01 17:00:00.000000000,August,8,Rainy,17.0,0.0,Evening
1010,-96,93,28,1900-01-01 17:30:00.000000000,August,8,Rainy,17.0,30.0,Evening
1012,-97,95,27,1900-01-01 18:00:00.000000000,August,8,Rainy,18.0,0.0,Evening
1014,-100,94,23.5,1900-01-01 08:00:00.000000000,December,12,Dry,8.0,0.0,Morning
1014,-100,93,23.5,1900-01-01 08:30:00.000000000,December,12,Dry,8.0,30.0,Morning
1014,-102,92,23.8,1900-01-01 09:00:00.000000000,December,12,Dry,9.0,0.0,Morning
1014,-105,91,24.0,1900-01-01 09:30:00.000000000,December,12,Dry,9.0,30.0,Morning
1015,-102,90,24.5,1900-01-01 10:00:00.000000000,December,12,Dry,10.0,0.0,Morning
1015,-102,88,25.5,1900-01-01 10:30:00.000000000,December,12,Dry,10.0,30.0,Morning
1015,-103,84,26.0,1900-01-01 11:00:00.000000000,December,12,Dry,11.0,0.0,Morning
1020,-105,83,26.3,1900-01-01 11:30:00.000000000,December,12,Dry,11.0,30.0,Morning
1015,-103,83,26.5,1900-01-01 12:00:00.000000000,December,12,Dry,12.0,0.0,Afternoon
1014,-108,80,27.5,1900-01-01 12:30:00.000000000,December,12,Dry,12.0,30.0,Afternoon
1011.56,-95.25,64.75,26.86,1970-01-01 00:00:00.000000008,February,2,Dry,0.0,0.0,Morning
1012.03,-96.18,62.39,27.94,1970-01-01 00:00:00.000000008,February,2,Dry,0.0,0.0,Morning
1012.16,-97.36,60.36,29.31,1970-01-01 00:00:00.000000009,February,2,Dry,0.0,0.0,Morning
1012.34,-98.68,56.04,30.83,1970-01-01 00:00:00.000000009,February,2,Dry,0.0,0.0,Morning
1012.45,-100.1,52.54,32.48,1970-01-01 00:00:00.000000010,February,2,Dry,0.0,0.0,Morning
1012.38,-101.52,50.94,34.12,1970-01-01 00:00:00.000000010,February,2,Dry,0.0,0.0,Morning
1012.26,-102.43,49.65,35.17,1970-01-01 00:00:00.000000011,February,2,Dry,0.0,0.0,Morning
1012.01,-103.29,48.42,36.17,1970-01-01 00:00:00.000000011,February,2,Dry,0.0,0.0,Morning
982.61,-104.16,48.04,37.18,1970-01-01 00:00:00.000000012,February,2,Dry,0.0,0.0,Morning
1011.35,-104.95,47.46,38.09,1970-01-01 00:00:00.000000012,February,2,Dry,0.0,0.0,Morning
1011.03,-105.71,46.91,38.97,1970-01-01 00:00:00.000000013,February,2,Dry,0.0,0.0,Morning
1010.62,-106.26,45.91,39.61,1970-01-01 00:00:00.000000013,February,2,Dry,0.0,0.0,Morning
1010.08,-106.93,45.17,40.38,1970-01-01 00:00:00.000000014,February,2,Dry,0.0,0.0,Morning
1009.62,-107.01,45.42,40.47,1970-01-01 00:00:00.000000014,February,2,Dry,0.0,0.0,Morning
1009.28,-107.19,45.65,40.68,1970-01-01 00:00:00.000000015,February,2,Dry,0.0,0.0,Morning
1008.92,-107.22,45.23,40.72,1970-01-01 00:00:00.000000015,February,2,Dry,0.0,0.0,Morning
1008.6,-107.45,45.55,40.98,1970-01-01 00:00:00.000000016,February,2,Dry,0.0,0.0,Morning
1008.3,-107.37,45.84,40.89,1970-01-01 00:00:00.000000016,February,2,Dry,0.0,0.0,Morning
1008.35,-107.11,46.49,40.59,1970-01-01 00:00:00.000000017,February,2,Dry,0.0,0.0,Morning
1001.97,-106.15,46.71,39.48,1970-01-01 00:00:00.000000017,February,2,Dry,0.0,0.0,Morning
1005.36,-105.16,48.2,38.33,1970-01-01 00:00:00.000000018,February,2,Dry,0.0,0.0,Morning
976.73,-91.42,34.23,22.43,1970-01-01 00:00:00.000000008,January,1,Dry,0.0,0.0,Morning
977.2,-92.35,31.87,23.51,1970-01-01 00:00:00.000000008,January,1,Dry,0.0,0.0,Morning
977.33,-93.54,29.84,24.88,1970-01-01 00:00:00.000000009,January,1,Dry,0.0,0.0,Morning
977.51,-94.85,25.52,26.4,1970-01-01 00:00:00.000000009,January,1,Dry,0.0,0.0,Morning
977.62,-96.28,22.02,28.05,1970-01-01 00:00:00.000000010,January,1,Dry,0.0,0.0,Morning
977.55,-97.69,20.42,29.69,1970-01-01 00:00:00.000000010,January,1,Dry,0.0,0.0,Morning
977.43,-98.6,19.13,30.74,1970-01-01 00:00:00.000000011,January,1,Dry,0.0,0.0,Morning
977.18,-99.46,17.9,31.74,1970-01-01 00:00:00.000000011,January,1,Dry,0.0,0.0,Morning
947.78,-100.34,17.52,32.75,1970-01-01 00:00:00.000000012,January,1,Dry,0.0,0.0,Morning
976.52,-101.12,16.94,33.66,1970-01-01 00:00:00.000000012,January,1,Dry,0.0,0.0,Morning
976.2,-101.88,16.39,34.54,1970-01-01 00:00:00.000000013,January,1,Dry,0.0,0.0,Morning
975.79,-102.44,15.39,35.18,1970-01-01 00:00:00.000000013,January,1,Dry,0.0,0.0,Morning
975.25,-103.1,14.65,35.95,1970-01-01 00:00:00.000000014,January,1,Dry,0.0,0.0,Morning
974.79,-103.18,14.9,36.04,1970-01-01 00:00:00.000000014,January,1,Dry,0.0,0.0,Morning
974.45,-103.36,15.13,36.25,1970-01-01 00:00:00.000000015,January,1,Dry,0.0,0.0,Morning
974.09,-103.4,14.71,36.29,1970-01-01 00:00:00.000000015,January,1,Dry,0.0,0.0,Morning
973.77,-103.62,15.03,36.55,1970-01-01 00:00:00.000000016,January,1,Dry,0.0,0.0,Morning
973.52,-103.28,15.97,36.16,1970-01-01 00:00:00.000000017,January,1,Dry,0.0,0.0,Morning
967.14,-102.32,16.19,35.05,1970-01-01 00:00:00.000000017,January,1,Dry,0.0,0.0,Morning
970.53,-101.33,17.68,33.9,1970-01-01 00:00:00.000000018,January,1,Dry,0.0,0.0,Morning
999.0,-109.7,81,24.0,1900-01-01 08:00:00.000000000,July,7,Rainy,8.0,0.0,Morning
1000.0,-110.2,81,23.6,1900-01-01 08:30:00.000000000,July,7,Rainy,8.0,30.0,Morning
998.0,-109.6,81,24.6,1900-01-01 09:00:00.000000000,July,7,Rainy,9.0,0.0,Morning
999.0,-109.0,80,25.0,1900-01-01 09:30:00.000000000,July,7,Rainy,9.0,30.0,Morning
998.0,-108.0,80,24.8,1900-01-01 10:00:00.000000000,July,7,Rainy,10.0,0.0,Morning
999.0,-108.0,80,25.3,1900-01-01 10:30:00.000000000,July,7,Rainy,10.0,30.0,Morning
999.9,-110.0,80,26.0,1900-01-01 11:00:00.000000000,July,7,Rainy,11.0,0.0,Morning
996.0,-103.6,81,26.4,1900-01-01 11:30:00.000000000,July,7,Rainy,11.0,30.0,Morning
999.0,-110.0,81,27.0,1900-01-01 12:00:00.000000000,July,7,Rainy,12.0,0.0,Afternoon
1000.0,-101.6,76,27.8,1900-01-01 12:30:00.000000000,July,7,Rainy,12.0,30.0,Afternoon
1000.0,-111.0,58,27.4,1900-01-01 13:00:00.000000000,July,7,Rainy,13.0,0.0,Afternoon
999.0,-110.6,62,28.4,1900-01-01 13:30:00.000000000,July,7,Rainy,13.0,30.0,Afternoon
997.0,-117.0,58,28.0,1900-01-01 14:00:00.000000000,July,7,Rainy,14.0,0.0,Afternoon
1000.6,-111.0,55,28.1,1900-01-01 14:30:00.000000000,July,7,Rainy,14.0,30.0,Afternoon
999.8,-110.5,59,29.0,1900-01-01 15:00:00.000000000,July,7,Rainy,15.0,0.0,Afternoon
989.7,-111.7,57,28.7,1900-01-01 15:30:00.000000000,July,7,Rainy,15.0,30.0,Afternoon
1000.0,-109.4,66,28.0,1900-01-01 16:00:00.000000000,July,7,Rainy,16.0,0.0,Evening
1100.0,-110.7,72,27.0,1900-01-01 17:00:00.000000000,July,7,Rainy,17.0,0.0,Evening
998.6,-110.5,72,26.6,1900-01-01 17:30:00.000000000,July,7,Rainy,17.0,30.0,Evening
996.0,-98.6,75,26.0,1900-01-01 18:00:00.000000000,July,7,Rainy,18.0,0.0,Evening
999.0,-109.7,81,24.0,1900-01-01 08:00:00.000000000,June,6,Rainy,8.0,0.0,Morning
1000.0,-110.2,81,23.6,1900-01-01 08:30:00.000000000,June,6,Rainy,8.0,30.0,Morning
998.0,-109.6,81,24.6,1900-01-01 09:00:00.000000000,June,6,Rainy,9.0,0.0,Morning
999.0,-109.0,80,25.0,1900-01-01 09:30:00.000000000,June,6,Rainy,9.0,30.0,Morning
998.0,-108.0,80,24.8,1900-01-01 10:00:00.000000000,June,6,Rainy,10.0,0.0,Morning
999.0,-108.0,80,25.3,1900-01-01 10:30:00.000000000,June,6,Rainy,10.0,30.0,Morning
999.9,-110.0,80,26.0,1900-01-01 11:00:00.000000000,June,6,Rainy,11.0,0.0,Morning
996.0,-103.6,81,26.4,1900-01-01 11:30:00.000000000,June,6,Rainy,11.0,30.0,Morning
999.0,-110.0,81,27.0,1900-01-01 12:00:00.000000000,June,6,Rainy,12.0,0.0,Afternoon
1000.0,-101.6,76,27.8,1900-01-01 12:30:00.000000000,June,6,Rainy,12.0,30.0,Afternoon
1000.0,-111.0,58,27.4,1900-01-01 13:00:00.000000000,June,6,Rainy,13.0,0.0,Afternoon
999.0,-110.6,62,28.4,1900-01-01 13:30:00.000000000,June,6,Rainy,13.0,30.0,Afternoon
997.0,-117.0,58,28.0,1900-01-01 14:00:00.000000000,June,6,Rainy,14.0,0.0,Afternoon
1000.6,-111.0,55,28.1,1900-01-01 14:30:00.000000000,June,6,Rainy,14.0,30.0,Afternoon
999.8,-110.5,59,29.0,1900-01-01 15:00:00.000000000,June,6,Rainy,15.0,0.0,Afternoon
989.7,-111.7,57,28.7,1900-01-01 15:30:00.000000000,June,6,Rainy,15.0,30.0,Afternoon
1000.0,-109.4,66,28.0,1900-01-01 16:00:00.000000000,June,6,Rainy,16.0,0.0,Evening
1100.0,-110.7,72,27.0,1900-01-01 17:00:00.000000000,June,6,Rainy,17.0,0.0,Evening
998.6,-110.5,72,26.6,1900-01-01 17:30:00.000000000,June,6,Rainy,17.0,30.0,Evening
996.0,-98.6,75,26.0,1900-01-01 18:00:00.000000000,June,6,Rainy,18.0,0.0,Evening
976.61,-97.57,57.4,29.55,1970-01-01 00:00:00.000000008,March,3,Dry,0.0,0.0,Morning
977.02,-98.34,55.95,30.44,1970-01-01 00:00:00.000000008,March,3,Dry,0.0,0.0,Morning
977.2,-98.97,53.62,31.17,1970-01-01 00:00:00.000000009,March,3,Dry,0.0,0.0,Morning
977.31,-99.68,51.85,31.99,1970-01-01 00:00:00.000000009,March,3,Dry,0.0,0.0,Morning
977.52,-100.48,49.81,32.92,1970-01-01 00:00:00.000000010,March,3,Dry,0.0,0.0,Morning
977.52,-101.08,48.24,33.61,1970-01-01 00:00:00.000000010,March,3,Dry,0.0,0.0,Morning
977.32,-101.61,47.85,34.22,1970-01-01 00:00:00.000000011,March,3,Dry,0.0,0.0,Morning
977.24,-102.35,44.37,35.08,1970-01-01 00:00:00.000000011,March,3,Dry,0.0,0.0,Morning
976.92,-102.72,42.3,35.51,1970-01-01 00:00:00.000000012,March,3,Dry,0.0,0.0,Morning
976.51,-103.39,41.2,36.29,1970-01-01 00:00:00.000000012,March,3,Dry,0.0,0.0,Morning
976.12,-103.98,40.27,36.97,1970-01-01 00:00:00.000000013,March,3,Dry,0.0,0.0,Morning
975.67,-104.51,38.9,37.58,1970-01-01 00:00:00.000000013,March,3,Dry,0.0,0.0,Morning
975.07,-104.94,36.69,38.08,1970-01-01 00:00:00.000000014,March,3,Dry,0.0,0.0,Morning
974.58,-105.2,34.3,38.38,1970-01-01 00:00:00.000000014,March,3,Dry,0.0,0.0,Morning
974.23,-105.26,33.78,38.45,1970-01-01 00:00:00.000000015,March,3,Dry,0.0,0.0,Morning
973.73,-105.39,32.69,38.6,1970-01-01 00:00:00.000000015,March,3,Dry,0.0,0.0,Morning
973.27,-105.46,32.66,38.68,1970-01-01 00:00:00.000000016,March,3,Dry,0.0,0.0,Morning
972.96,-105.34,32.24,38.54,1970-01-01 00:00:00.000000016,March,3,Dry,0.0,0.0,Morning
973.15,-105.04,32.66,38.19,1970-01-01 00:00:00.000000017,March,3,Dry,0.0,0.0,Morning
972.79,-104.37,34.14,37.42,1970-01-01 00:00:00.000000017,March,3,Dry,0.0,0.0,Morning
972.92,-103.63,36.98,36.56,1970-01-01 00:00:00.000000018,March,3,Dry,0.0,0.0,Morning
996.0,-99,80,25.4,1900-01-01 08:00:00.000000000,May,5,Rainy,8.0,0.0,Morning
999.0,-103,80,25.6,1900-01-01 08:30:00.000000000,May,5,Rainy,8.0,30.0,Morning
996.0,-102,80,26.0,1900-01-01 09:00:00.000000000,May,5,Rainy,9.0,0.0,Morning
997.3,-101,79,25.7,1900-01-01 09:30:00.000000000,May,5,Rainy,9.0,30.0,Morning
996.0,-101,79,26.0,1900-01-01 10:00:00.000000000,May,5,Rainy,10.0,0.0,Morning
997.0,-101,79,27.9,1900-01-01 10:30:00.000000000,May,5,Rainy,10.0,30.0,Morning
998.0,-103,79,28.0,1900-01-01 11:00:00.000000000,May,5,Rainy,11.0,0.0,Morning
997.0,-107,80,28.1,1900-01-01 11:30:00.000000000,May,5,Rainy,11.0,30.0,Morning
996.0,-103,80,28.9,1900-01-01 12:00:00.000000000,May,5,Rainy,12.0,0.0,Afternoon
998.0,-101,75,28.0,1900-01-01 12:30:00.000000000,May,5,Rainy,12.0,30.0,Afternoon
998.0,-103,57,31.0,1900-01-01 13:00:00.000000000,May,5,Rainy,13.0,0.0,Afternoon
997.0,-106,61,30.0,1900-01-01 13:30:00.000000000,May,5,Rainy,13.0,30.0,Afternoon
995.0,-106,57,31.0,1900-01-01 14:00:00.000000000,May,5,Rainy,14.0,0.0,Afternoon
997.0,-107,54,33.0,1900-01-01 14:30:00.000000000,May,5,Rainy,14.0,30.0,Afternoon
999.0,-111,58,32.0,1900-01-01 15:00:00.000000000,May,5,Rainy,15.0,0.0,Afternoon
993.0,-107,56,33.0,1900-01-01 15:30:00.000000000,May,5,Rainy,15.0,30.0,Afternoon
994.0,-101,65,30.0,1900-01-01 16:00:00.000000000,May,5,Rainy,16.0,0.0,Evening
994.0,-105,67,29.0,1900-01-01 16:30:00.000000000,May,5,Rainy,16.0,30.0,Evening
994.0,-100,71,27.0,1900-01-01 17:00:00.000000000,May,5,Rainy,17.0,0.0,Evening
994.0,-100,71,29.0,1900-01-01 17:30:00.000000000,May,5,Rainy,17.0,30.0,Evening
996.0,-99,74,28.0,1900-01-01 18:00:00.000000000,May,5,Rainy,18.0,0.0,Evening
1015,-103,97,23,1900-01-01 08:00:00.000000000,November,11,Dry,8.0,0.0,Morning
1015,-105,94,23,1900-01-01 08:30:00.000000000,November,11,Dry,8.0,30.0,Morning
1015,-107,93,22,1900-01-01 09:00:00.000000000,November,11,Dry,9.0,0.0,Morning
1016,-96,91,23,1900-01-01 09:30:00.000000000,November,11,Dry,9.0,30.0,Morning
1016,-114,91,23,1900-01-01 10:00:00.000000000,November,11,Dry,10.0,0.0,Morning
1013,-111,90,24,1900-01-01 11:00:00.000000000,November,11,Dry,11.0,0.0,Morning
1014,-112,90,23,1900-01-01 11:30:00.000000000,November,11,Dry,11.0,30.0,Morning
1015,-103,83,25,1900-01-01 12:00:00.000000000,November,11,Dry,12.0,0.0,Afternoon
1013,-102,77,27,1900-01-01 12:30:00.000000000,November,11,Dry,12.0,30.0,Afternoon
1013,-104,77,28,1900-01-01 13:00:00.000000000,November,11,Dry,13.0,0.0,Afternoon
1013,-98,77,28,1900-01-01 13:30:00.000000000,November,11,Dry,13.0,30.0,Afternoon
1012,-93,76,27,1900-01-01 14:00:00.000000000,November,11,Dry,14.0,0.0,Afternoon
1012,-112,77,30,1900-01-01 15:00:00.000000000,November,11,Dry,15.0,0.0,Afternoon
1011,-110,79,30,1900-01-01 15:30:00.000000000,November,11,Dry,15.0,30.0,Afternoon
1011,-108,80,26,1900-01-01 16:00:00.000000000,November,11,Dry,16.0,0.0,Evening
1011,-111,83,27,1900-01-01 16:30:00.000000000,November,11,Dry,16.0,30.0,Evening
1011,-110,89,27,1900-01-01 17:00:00.000000000,November,11,Dry,17.0,0.0,Evening
1012,-100,90,24,1900-01-01 18:00:00.000000000,November,11,Dry,18.0,0.0,Evening
1014,-95,83,26,1900-01-01 08:00:00.000000000,October,10,Rainy,8.0,0.0,Morning
1014,-96,79,26,1900-01-01 08:30:00.000000000,October,10,Rainy,8.0,30.0,Morning
1015,-96,76,26,1900-01-01 09:00:00.000000000,October,10,Rainy,9.0,0.0,Morning
1015,-96,76,26,1900-01-01 09:30:00.000000000,October,10,Rainy,9.0,30.0,Morning
1015,-97,71,27,1900-01-01 10:00:00.000000000,October,10,Rainy,10.0,0.0,Morning
1015,-101,71,27,1900-01-01 10:30:00.000000000,October,10,Rainy,10.0,30.0,Morning
1014,-100,65,28,1900-01-01 11:00:00.000000000,October,10,Rainy,11.0,0.0,Morning
1013,-99,62,29,1900-01-01 11:30:00.000000000,October,10,Rainy,11.0,30.0,Morning
1013,-94,62,30,1900-01-01 12:00:00.000000000,October,10,Rainy,12.0,0.0,Afternoon
1012,-91,60,30,1900-01-01 12:30:00.000000000,October,10,Rainy,12.0,30.0,Afternoon
1010,-89,58,31,1900-01-01 13:00:00.000000000,October,10,Rainy,13.0,0.0,Afternoon
1010,-92,60,31,1900-01-01 13:30:00.000000000,October,10,Rainy,13.0,30.0,Afternoon
1010,-100,62,32,1900-01-01 14:00:00.000000000,October,10,Rainy,14.0,0.0,Afternoon
1010,-98,65,30,1900-01-01 14:30:00.000000000,October,10,Rainy,14.0,30.0,Afternoon
1009,-95,68,29,1900-01-01 15:00:00.000000000,October,10,Rainy,15.0,0.0,Afternoon
1010,-96,69,29,1900-01-01 15:30:00.000000000,October,10,Rainy,15.0,30.0,Afternoon
1010,-97,79,31,1900-01-01 16:00:00.000000000,October,10,Rainy,16.0,0.0,Evening
1010,-96,85,28,1900-01-01 16:30:00.000000000,October,10,Rainy,16.0,30.0,Evening
1010,-94,86,25,1900-01-01 17:00:00.000000000,October,10,Rainy,17.0,0.0,Evening
1010,-92,86,25,1900-01-01 17:30:00.000000000,October,10,Rainy,17.0,30.0,Evening
1010,-90,87,26,1900-01-01 18:00:00.000000000,October,10,Rainy,18.0,0.0,Evening
1013,-102,96,22,2026-08-06 08:30:00.000000000,September,9,Rainy,8.0,30.0,Morning
1013,-101,94,23,2026-08-06 09:30:00.000000000,September,9,Rainy,9.0,30.0,Morning
1014,-102,93,23,2026-08-06 10:00:00.000000000,September,9,Rainy,10.0,0.0,Morning
1014,-104,93,23,2026-08-06 10:30:00.000000000,September,9,Rainy,10.0,30.0,Morning
1013,-107,93,25,2026-08-06 11:00:00.000000000,September,9,Rainy,11.0,0.0,Morning
1011,-107,92,26,2026-08-06 11:30:00.000000000,September,9,Rainy,11.0,30.0,Morning
1011,-107,89,27,2026-08-06 12:00:00.000000000,September,9,Rainy,12.0,0.0,Afternoon
1010,-105,87,26,2026-08-06 12:30:00.000000000,September,9,Rainy,12.0,30.0,Afternoon
